X1	X2	X3	W4	W5	W6	W7	W8	C	Y
2.33	2.87	0.81	0	0	0	0	0	c	c
0.12	0.15	0.81	8	277	0	0	0	c	n
0.12	0.15	0.81	8	0	277	0	0	c	n
0.37	0.45	0.81	4	0	0	178	70	r	p
0.12	2.27	0.05	12	0	0	0	0	y	n
0.12	0.15	0.81	52	84	84	0	63	c	n
1.35	1.66	0.81	34	22	0	0	70	y	c
1.1	1.36	0.81	38	0	120	0	0	y	n
1.23	1.51	0.81	1	0	0	141	0	r	p
0.12	0.15	0.81	72	72	0	141	0	r	p
0.12	0.15	0.81	72	0	72	141	0	r	c
0.86	1.06	0.81	48	116	26	0	0	y	n
0.12	0.15	0.81	267	0	0	9	7	y	n
0.12	1.37	0.09	13	0	7	37	70	y	c
0.12	0.91	0.14	27	0	0	159	0	r	c
0.12	0.6	0.21	51	44	131	0	0	y	n
1.35	1.96	0.69	77	0	11	0	0	y	n
0.12	0.15	0.81	73	47	0	94	70	y	p
0.12	0.15	0.81	73	0	47	94	70	y	p
0.74	0.91	0.81	63	0	80	0	63	y	c
0.12	0.15	0.81	52	169	0	0	63	c	n
0.12	0.15	0.81	22	164	89	9	0	c	n
0.12	0.15	0.81	52	0	169	0	63	y	c
0.61	0.75	0.81	56	24	32	84	26	r	p
0.73	1.21	0.6	41	7	7	56	56	r	c
0.25	1.38	0.18	51	21	10	28	22	r	c
1.34	1.82	0.74	38	8	8	19	33	y	c
0.36	1.07	0.34	60	9	28	66	11	r	c
0.73	1.22	0.6	47	8	25	75	11	r	c
0.73	1.22	0.6	49	8	25	47	37	r	c
0.36	0.91	0.4	58	7	7	84	37	r	c
0.73	1.22	0.6	45	34	9	37	41	y	n
0.36	0.91	0.4	62	37	9	75	11	r	c
0.73	1.06	0.69	47	6	0	122	11	r	p
0.25	1.07	0.23	49	8	8	47	59	r	c
0.73	1.22	0.6	63	53	11	28	11	y	n
0.25	0.92	0.27	44	7	7	122	11	r	c
0.61	1.52	0.4	45	0	9	19	52	y	c
1.34	1.97	0.68	39	9	9	19	11	r	c
1.71	2.27	0.75	19	8	8	9	15	y	c
0.73	1.21	0.6	48	0	57	47	15	r	c
0.73	1.22	0.6	87	10	20	37	11	r	c
1.1	1.51	0.73	55	8	8	19	48	y	c
1.1	1.51	0.73	58	28	9	28	15	y	c
1.09	1.5	0.73	46	9	26	47	11	r	c
0.85	1.83	0.47	33	9	9	19	22	r	c
0.36	0.45	0.81	107	0	47	28	70	y	c
0.85	1.21	0.71	72	8	8	19	63	y	c
0.86	1.21	0.71	71	40	10	37	11	y	n
0.61	1.06	0.57	61	9	26	28	59	c	n
0.25	1.23	0.2	56	31	10	28	26	y	n
1.58	2.26	0.7	18	9	9	9	11	y	c
0.73	1.22	0.6	46	24	8	28	59	y	n
0.61	0.9	0.67	72	0	91	28	11	c	n
1.09	1.5	0.73	56	18	9	19	37	y	n
0.36	0.76	0.48	99	9	19	75	11	r	c
0.73	1.06	0.69	84	22	44	28	7	y	n
0.36	0.91	0.4	53	7	0	75	59	r	n
1.09	1.66	0.66	44	10	41	9	15	y	c
0.73	1.06	0.69	54	14	7	66	44	r	c
0.49	1.53	0.32	40	9	9	9	52	y	n
1.21	1.8	0.67	50	20	10	9	15	c	n
0.73	1.06	0.69	44	6	6	122	7	r	p
0.25	1.07	0.23	66	9	9	28	59	y	n
0.25	1.07	0.23	63	12	58	28	11	r	c
0.25	0.61	0.4	76	0	70	28	56	c	n
0.73	1.83	0.4	40	10	10	9	19	r	c
0.85	1.21	0.71	63	9	38	19	41	y	n
0.49	0.91	0.53	59	9	46	47	37	r	c
0.73	1.21	0.6	94	10	10	19	33	c	n
0.25	0.45	0.54	118	0	17	47	67	y	n
0.36	0.76	0.48	68	46	9	75	15	r	n
0.36	0.59	0.6	74	7	7	131	15	r	p
0.84	1.19	0.71	70	0	37	19	44	c	n
0.24	0.91	0.27	49	7	7	75	52	r	c
0.24	0.61	0.4	74	30	39	75	11	r	c
0.36	0.75	0.48	68	9	34	66	37	r	c
0.72	1.05	0.69	71	38	9	56	11	r	c
1.56	2.08	0.75	37	9	9	9	11	y	n
1.2	1.63	0.73	60	19	10	19	15	y	n
0.24	0.61	0.4	70	10	73	66	11	r	c
0.84	1.35	0.62	51	8	8	28	56	y	n
0.48	0.9	0.53	57	7	15	56	63	y	p
0.36	1.52	0.24	40	0	9	19	48	r	c
1.08	1.64	0.66	46	9	9	19	37	y	n
1.08	1.48	0.73	69	11	44	0	15	y	n
0.24	0.61	0.4	74	59	10	75	11	r	c
0.84	1.04	0.81	51	6	0	122	11	r	p
0.6	1.05	0.57	76	0	66	28	11	r	c
0.72	1.8	0.4	49	11	11	0	19	y	n
0.36	0.44	0.81	85	9	54	37	67	y	c
0.24	0.61	0.4	129	10	10	66	15	r	c
0.72	1.04	0.69	60	15	8	66	37	r	p
0.72	1.04	0.69	137	0	11	19	19	c	n
0.24	1.36	0.18	54	23	23	19	15	r	c
